asin,title,price,rating,sales_volume,reviews_count
B08MVWB4SC,Hasbro Gaming Guess Who? People & Pets Board Game Edition | The Original Guessing Game | Easter Gifts for Girls & Boys | Ages 6+ (Amazon Exclusive),16.99,4.6,5K+ bought in past month,5722
B07MMP11S1,Hasbro Gaming Pie Face Game | Whipped Cream Family Board Game for Kids | Ages 5 and Up | for 2 or More Players | Funny Preschool Games | Kids Gifts,12.99,4.8,2K+ bought in past month,2012
B01IHOV8ME,"Ticket to Ride Rails & Sails Board Game - Train Route-Building Strategy Game, Fun Family Game for Kids & Adults, Ages 10+, 2-5 Players, 90-120 Minute Playtime, Made by Days of Wonder",89.99,4.9,200+ bought in past month,3934
B0B5HLZ8T4,"Monopoly Game, Family Board Games for 2 to 6 Players & Kids Ages 8 and Up, Includes 8 Tokens (Token Vote Edition)",19.92,4.8,6K+ bought in past month,3548
B093HBBMPT,Big Potato Herd Mentality: Udderly Hilarious Board Game | Easy Setup & Play | Loved by Millions of Families & Friends | Perfect for 4-20 Players | Includes 20 Extra Online Exclusive Question Cards,16.99,4.7,3K+ bought in past month,4884
B0D94X5WQR,Guess Who? HARRY POTTER Edition Board Game | Ages 6 and Up | 2 Players | Fun Games for Kids and Preschoolers | Family Gifts (Amazon Exclusive),23.34,4.7,1K+ bought in past month,24
B0C3DNT9W3,"Hungry Hungry Hippos Game for Preschoolers | Instant Marble Relaunch, Easy Set-Up & Storage| Ages 4 and Up | 2 to 4 Players | Kids Games",15.86,4.7,5K+ bought in past month,594
B0DB6GQ3W2,Monopoly Pokémon Edition Board Game | Ages 8 and Up | 2 to 4 Players | Kids Games for Pokémon Fans | Fun Family Games| 45 Mins. Avg.,24.84,4.8,3K+ bought in past month,110
B07PHH966D,"The Lord of the Rings Strategy Board Game - Cooperative Adventure for 1-5 Players, Ages 14+, 60+ Minute Playtime by Fantasy Flight Games",103.34,4.7,100+ bought in past month,1884
B09D42RZWX,"Hasbro Gaming Trouble Bluey Edition Game | Family Board Games | Kids Play as Bluey, Bingo, Bandit or Chilli | Easter Gifts for Girls & Boys | 2-4 Players | Ages 5+ (Amazon Exclusive)",16.44,4.6,3K+ bought in past month,2806
B0D19HPGY5,"Hasbro Gaming Candy Land Bluey Edition Board Game | Ages 3 and Up | 2-6 Players | Play as Dad, Mum, Bluey, Bingo, Muffin, or Socks | Preschool Games | Kids Gifts (Amazon Exclusive)",14.99,4.8,2K+ bought in past month,663
B00000DMF5,"Hasbro Gaming Candy Land Kingdom Of Sweet Adventures Board Game For Kids, Easter Gifts for Boys & Girls, 3+ (Amazon Exclusive)",10.49,4.8,10K+ bought in past month,35015
B0CKMGT256,"48Pcs Tetra Tower Stacking Blocks Game, Board Games for Families, Parties, Travel and Team Building, Suitable for 1-4 Players Kids & Adults Toys",10.99,4.4,300+ bought in past month,397
